,1917-18,1918-19,1919-20,1920-21,1921-22,1922-23,1923-24,1924-25,1925-26,1926-27,1927-28,1928-29,1929-30,1930-31,1931-32,1932-33,1933-34,1934-35,1935-36,1936-37,1937-38,1938-39,1939-40,1940-41,1941-42,1942-43,1943-44,1944-45,1945-46,1946-47,1947-48,1948-49,1949-50,1950-51,1951-52,1952-53,1953-54,1954-55,1955-56,1956-57,1957-58,1958-59,1959-60,1960-61,1961-62,1962-63,1963-64,1964-65,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.1,0.1,0.2,0.3,0.3,,0.2,0.2,,0.3,,0.4,0.3,0.5,0.6,0.4,0.7,0.5,0.3,0.1,0.1,0.3,0.1,0,0,0,0.2,0.3,0.3,0.3,0.5
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,,,0.2,0.2,0.1,0,,0,0.3,0.2,0,0,0.2,0,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.3
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.2,,,,0,0.1,0,0.1,,,,,,,,,0,0.1,0.2,0,0,0.1,0.1,0.2,0.1,0,0,0,0.1,,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.1,0.2,0.1
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.1,0,0.1,0.1,0.1,0.2,0.1
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.1,0.1,0.1,0.1
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0.1,0.1,0.1,0,0,0,0,0,,,,,,,,0,0,0.1,,0.2,0.3,0.2,0.4,0.2,0.5,0.5,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.3,0.1,0.2,0,0.2,0.3
UK,3.1,2.7,2.9,1.2,0.8,0.4,0,0,0,0.5,1.7,2.7,2.1,2,1.9,3,4.5,4.1,2.3,2.4,3.1,2.4,1.7,1.5,1.7,,1.3,,1.6,1.7,3,3.1,2.3,3.2,3.4,1.5,0.9,0.7,1,1,1,1,0.9,1,1,1,,0.1,0.9,1,0.6,1,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.2,0.2,0,0,0,,,,,,,,,0.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,0.6,0.2,,0,,0.8,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,,0.1,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
