Sergei Fedorov,483,,0,0,0,31,32,34,56,20,39,30,6,26,27,32,31,36,31,0,12,18,11,11,0,0,0,0,0,0
Bernie Nicholls,475,,0,0,14,28,41,46,36,33,32,70,39,25,20,13,19,22,19,12,6,0,0,0,0,0,0,0,0,0
Alexander Mogilny,473,,0,0,15,30,39,76,32,19,55,31,18,14,24,43,24,33,8,0,12,0,0,0,0,0,0,0,0,0
Pat LaFontaine,468,,13,19,30,38,47,45,54,41,46,53,5,12,40,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Theoren Fleury,455,,0,0,14,31,51,33,34,40,29,46,29,27,40,15,30,24,12,0,0,0,0,0,0,0,0,0,0,0
Corey Perry,448,y,0,0,13,17,29,32,27,50,37,15,43,33,34,19,17,6,5,9,19,12,12,19,0,0,0,0,0,0
Rick Middleton,448,,0,0,22,24,20,25,38,40,44,51,49,47,30,14,31,13,0,0,0,0,0,0,0,0,0,0,0,0
Ilya Kovalchuk,443,,29,38,41,0,52,42,52,43,41,31,37,11,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0
Rick Vaive,441,,0,0,22,33,54,51,52,35,33,32,43,31,29,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Roberts,438,,0,0,5,13,22,39,22,53,38,41,2,22,0,20,14,23,29,21,5,28,0,14,20,3,4,0,0,0
Pavel Bure,437,,0,0,34,60,60,20,6,23,51,13,58,59,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Shutt,424,,0,0,8,15,30,45,60,49,37,47,35,31,35,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephane Richer,421,,1,21,20,50,25,51,31,29,38,36,23,20,22,14,12,15,13,1,0,0,0,0,0,0,0,0,0,0
Vincent Lecavalier,421,,13,25,23,20,33,32,0,35,52,40,29,24,25,22,10,20,8,10,0,0,0,0,0,0,0,0,0,0
Bill Barber,420,,0,0,30,34,34,50,20,41,34,40,43,45,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John LeClair,406,,0,0,0,2,8,19,19,26,51,50,51,43,40,7,25,18,23,0,22,2,0,0,0,0,0,0,0,0
John Ogrodnick,402,,0,0,8,35,28,41,42,55,38,23,22,13,43,31,17,6,0,0,0,0,0,0,0,0,0,0,0,0
Paul Kariya^,402,,0,0,18,50,44,17,39,42,33,32,25,11,0,31,24,16,2,18,0,0,0,0,0,0,0,0,0,0
Auston Matthews,401,y,0,40,34,37,47,41,60,40,69,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
