yearID,USA,Dominican Republic,Venezuela,Puerto Rico,Cuba,Canada,Japan,Mexico,Other
1871,0.8782608695652174,0.0,0.0,0.0,0.008695652173913044,0.008695652173913044,0.0,0.0,0.10434782608695652
1872,0.8531468531468531,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.13986013986013987
1873,0.8770491803278688,0.0,0.0,0.0,0.00819672131147541,0.00819672131147541,0.0,0.0,0.10655737704918032
1874,0.8666666666666667,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.125
1875,0.8571428571428571,0.0,0.0,0.0,0.0,0.010582010582010581,0.0,0.0,0.13227513227513227
1876,0.8677685950413223,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.12396694214876033
1877,0.9130434782608695,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.07608695652173914
1878,0.8961038961038961,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.09090909090909091
1879,0.9243697478991597,0.0,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.06722689075630252
1880,0.9133858267716536,0.0,0.0,0.0,0.0,0.031496062992125984,0.0,0.0,0.05511811023622047
1881,0.9083333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.05
1882,0.9082969432314411,0.0,0.0,0.0,0.0,0.034934497816593885,0.0,0.0,0.056768558951965066
1883,0.9031007751937985,0.0,0.0,0.0,0.0,0.04263565891472868,0.0,0.0,0.05426356589147287
1884,0.89375,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05625
1885,0.897196261682243,0.0,0.0,0.0,0.0,0.04361370716510903,0.0,0.0,0.059190031152647975
1886,0.9384615384615385,0.0,0.0,0.0,0.0,0.021538461538461538,0.0,0.0,0.04
1887,0.9272151898734177,0.0,0.0,0.0,0.0,0.028481012658227847,0.0,0.0,0.04430379746835443
1888,0.9397590361445783,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.03614457831325301
1889,0.937888198757764,0.0,0.0,0.0,0.0,0.024844720496894408,0.0,0.0,0.037267080745341616
1890,0.9156862745098039,0.0,0.0,0.0,0.0,0.03137254901960784,0.0,0.0,0.052941176470588235
1891,0.9331476323119777,0.0,0.0,0.0,0.0,0.027855153203342618,0.0,0.0,0.03899721448467967
1892,0.9471698113207547,0.0,0.0,0.0,0.0,0.011320754716981131,0.0,0.0,0.04150943396226415
1893,0.9653846153846154,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.026923076923076925
1894,0.9507575757575758,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.03787878787878788
1895,0.971830985915493,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.02464788732394366
1896,0.9669117647058824,0.0,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.025735294117647058
1897,0.9467680608365019,0.0,0.0,0.0,0.0,0.019011406844106463,0.0,0.0,0.034220532319391636
1898,0.959866220735786,0.0,0.0,0.0,0.0,0.010033444816053512,0.0,0.0,0.030100334448160536
1899,0.964516129032258,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.02903225806451613
1900,0.973404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026595744680851064
1901,0.9514824797843666,0.0,0.0,0.0,0.0,0.008086253369272238,0.0,0.0,0.04043126684636118
1902,0.9358974358974359,0.0,0.0,0.0,0.002564102564102564,0.017948717948717947,0.0,0.0,0.04358974358974359
1903,0.9538043478260869,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.035326086956521736
1904,0.9505494505494505,0.0,0.0,0.0,0.0,0.008241758241758242,0.0,0.0,0.04120879120879121
1905,0.9487179487179487,0.0,0.0,0.0,0.0,0.020512820512820513,0.0,0.0,0.03076923076923077
1906,0.9514563106796117,0.0,0.0,0.0,0.0,0.014563106796116505,0.0,0.0,0.03398058252427184
1907,0.9594272076372315,0.0,0.0,0.0,0.0,0.011933174224343675,0.0,0.0,0.028639618138424822
1908,0.9613636363636363,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.02727272727272727
1909,0.9603174603174603,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.027777777777777776
1910,0.9606299212598425,0.0,0.0,0.0,0.0,0.015748031496062992,0.0,0.0,0.023622047244094488
1911,0.9607476635514018,0.0,0.0,0.0,0.003738317757009346,0.014953271028037384,0.0,0.0,0.020560747663551402
1912,0.9586092715231788,0.0,0.0,0.0,0.004966887417218543,0.013245033112582781,0.0,0.0,0.023178807947019868
1913,0.9604810996563574,0.0,0.0,0.0,0.006872852233676976,0.010309278350515464,0.0,0.0,0.022336769759450172
1914,0.9540540540540541,0.0,0.0,0.0,0.008108108108108109,0.00945945945945946,0.0,0.0,0.02837837837837838
1915,0.965893587994543,0.0,0.0,0.0,0.0068212824010914054,0.009549795361527967,0.0,0.0,0.017735334242837655
1916,0.9601518026565465,0.0,0.0,0.0,0.011385199240986717,0.007590132827324478,0.0,0.0,0.020872865275142316
1917,0.9673469387755103,0.0,0.0,0.0,0.01020408163265306,0.00816326530612245,0.0,0.0,0.014285714285714285
1918,0.9591002044989775,0.0,0.0,0.0,0.016359918200409,0.010224948875255624,0.0,0.0,0.014314928425357873
1919,0.9707724425887265,0.0,0.0,0.0,0.008350730688935281,0.008350730688935281,0.0,0.0,0.012526096033402923
1920,0.9696969696969697,0.0,0.0,0.0,0.012121212121212121,0.010101010101010102,0.0,0.0,0.00808080808080808
1921,0.9695121951219512,0.0,0.0,0.0,0.01016260162601626,0.008130081300813009,0.0,0.0,0.012195121951219513
1922,0.9778672032193159,0.0,0.0,0.0,0.006036217303822937,0.006036217303822937,0.0,0.0,0.01006036217303823
1923,0.98635477582846,0.0,0.0,0.0,0.001949317738791423,0.003898635477582846,0.0,0.0,0.007797270955165692
1924,0.9867674858223062,0.0,0.0,0.0,0.005671077504725898,0.003780718336483932,0.0,0.0,0.003780718336483932
