artist,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,videoID
The Ink Spots,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,6,6,6,https://www.youtube.com/watch?v=zyLZ_KScE9s
Ambulance Ltd,23,16,14,14,14,14,13,13,14,12,11,6,5,5,5,2,1,5,https://www.youtube.com/watch?v=1plARzmiX5k
Yo La Tengo,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,4,https://www.youtube.com/watch?v=kBZPaYUGP6o
Muddy Waters,35,23,13,11,10,7,7,7,9,9,4,3,6,6,6,5,5,3,https://www.youtube.com/watch?v=2QoBR-F3tp4
A Silver Mt. Zion,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,1,https://www.youtube.com/watch?v=GCmrJFG5gHc
Purple Mountains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,https://www.youtube.com/watch?v=XvUBbROsXBw
Guided by Voices,40,27,28,24,22,21,20,20,17,13,6,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=bnzHVGZcP1Y
Daniel Johnston,29,15,9,10,9,9,11,11,6,3,3,5,4,4,4,3,2,0,https://www.youtube.com/watch?v=-qgXYvjVNvk
Girl Talk,27,24,16,15,13,11,9,9,4,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=p0mUaVU41EE
Joanna Newsom,24,14,10,7,4,3,3,3,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=n0BYYTiVofQ
The Moldy Peaches,22,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=neUDGCEaWdI
Sondre Lerche,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=-r0XpoESUcQ
Dan Deacon,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=-6gKT3NnE3k
Sigur Ros,19,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=IAICWA7FKbk
Animal Collective,18,26,22,18,17,16,15,15,13,4,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=0pmz738u9to
Bob Dylan,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=fm-po_FUmvM
The White Stripes,16,20,24,21,20,19,18,18,16,11,2,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=K4dx42YzQCE
Squirrel Nut Zippers,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=vhnJlpj2Iak
Panda Bear,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=Hiz0C5hQsxU
Architecture in Helsinki,12,13,15,12,11,10,8,8,5,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=gPefy4xnNpk
E-603,11,30,29,27,25,24,22,22,19,14,8,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=G71Pok_AoS4
Franz Ferdinand,9,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=Ijk4j-r7qPA
OutKast,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=PWgvGjAhvIw
Starlight Mints,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=Htaws8NSeZg
MGMT,6,8,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=fe4EK4HSPkI
Sonic Youth,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=Y21VecIIdBI
Muse,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=_v8zDNNaWak
The Doors,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=NFeUko-lQHg
RISD Students,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Bowie,0,0,0,5,12,12,12,12,7,10,9,4,2,2,2,1,0,0,https://www.youtube.com/watch?v=RPUAldgS7Sg
Neon Indian,0,0,11,13,15,15,14,14,11,6,1,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=XcpFhfN4-jM
Donovan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=DghpDoZ2VqE
Danger Mouse,0,4,2,8,7,6,6,6,2,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=15EmdlDT0d4
Edward Sharpe & The Magnetic Zeros,0,0,8,9,6,5,4,4,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=DHEOF_rcND8
Chromeo,0,0,0,0,3,4,5,5,3,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=3ZKq2ptu7qw
Los Camesinos!,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,https://www.youtube.com/watch?v=Nj6SO_yKMe8
