Person,Lover,Type,Episode
Sideshow Bob,Edna Krabappel,Dated,S08E16
Chief Wiggum,Princess Kashmir,Flirts,S08E18
Seymour Skinner,Edna Krabappel,Dated,S08E19
Lou,Another Random Girl,Dated,S08E20
Moe,Lady that yells in front of drug store,Flirts,S08E24
Barney Gumble,Lady that yells in front of drug store,Dated,S08E24
Moe,Girl who got in car accident,Dated,S08E24
Abe Simpson,Agnes Skinner,Flirts,S09E02
Krusty,Mia Farrow,Married,S09E03
Selma,TV Repair Guy,Flirts,S09E05
Quimby,Red Headed girl,Flirts,S09E05
Apu,Manjula,Married,S09E07
Simpsons Neighbor,Apu,Dated,S09E07
Selma,Apu,Dated,S09E07
Ms Hoover,Apu,Dated,S09E07
Luanne,Apu,Dated,S09E07
Krusty's secretary,Apu,Dated,S09E07
Apu,4 random girls in his car,Dated,S09E07
Sideshow Mel,Barbara,Dated,S09E08
Santas Little Helper,Greyhound,Lovers,S09E11
Carney Boy,Lisa Simpson,Flirts,S09E12
Comic Book Guy,Super hot red head,Married,S09E13
Barney Gumble,Otto,Married,S09E13
Seymour Skinner,Agnes Skinner,Married,S09E13
Canyonaro Guy 1,Canyonaro Guy 2,Flirts,S09E15
Moe,Two girls at club,Flirts,S09E16
Moe,Renae,Dated,S09E16
Otto,Princess Kashmir,Flirts,S09E16
Moe,Mail ordered bride,Married,S09E16
Girl playing violin,Husband in crowd,Married,S09E17
Wendel,Red head at dance,Dated,S10E01
Milhouse,girl with head gear,Dated,S10E01
Scratchy,Snowball II,Flirts,S10E04
Kang,Marge Simpson,?,S10E04
Kim Basinger,Alec Baldwin,Married,S10E05
Homer Simpson,Two hippie chicks,Dreams About,S10E06
Seth,Mona Simpson,Dated,S10E06
Munchie,Mona Simpson,Dated,S10E06
Willie,Fergie,?,S10E06
Comic Book Guy,Nerd Girl,Flirts,S10E09
Quimby,intern in bathroom,Flirts,S10E09
Quimby,broad,Flirts,S10E09
Old man,Bart,Flirts,S10E09
Ned,Vegas girl,Married,S10E10
Homer Simpson,Amber,Married,S10E10
Luanne,Gyro,Affair,S10E11
Chalmers,Agnes Skinner,Dated,S10E11
Krusty,Dolly Parton,Crush,S10E12
Bill Clinton,Marge Simpson,Flirts,S10E13
Captain,Crew,Lovers,S10E14
Gil,Gil's wife,Married,S10E15
Krusty,Some chick maybe,Lovers,S10E16
Willie,Mail ordered bride,Married,S10E16
Bart,Milhouse,Crush,S10E19
Greasy haired teen,key girl,Dated,S10E19
Willies mom,Willies dad,Married,S10E21
